Institution,Institution_type,City,Postal_Code,Latitude,Longitude
 Collaborative Education Alternative Program (Qualicum),Continuing/ Alternate Education Centre,Qualicum,V9K 1T3,49.348822,-124.434756
Robron Centre,Continuing Education Centre,Campbell River,V9W 6J7,49.995636,-125.243878
Continuing Education Centre Kamloops,Continuing Education Centre,Kamloops,V2B 5H1,50.707459,-120.387954
Riverside College,Continuing Education Centre,Mission,V2V 6Y4,49.15866,-122.285561
EBUS Academy,Adult Education/ Distributed Learning,Vanderhoof,V0J 3A0,54.017946,-124.007739
Distributed Learning ,Adult Education/ Distributed Learning,Duncan,V9L 2E6,48.786377,-123.716463
Continuing Education Delta,Continuing Education Centre,Delta,V4K 3C9,49.088591,-123.064146
ACE Agassiz Centre for Education,Continuing Education Centre,Agassiz,V0M 1A0,49.238059,-121.763239
Adult Education/ Distributed Learning,Adult Education/ Distributed Learning,Williams Lake,V2G 1Z9,52.132792,-122.144681
Langley Education Centre,Continuing Education Centre,Langley,V2Y 2N1 ,49.104381,-122.626165
Adult Learning Centre,Adult Education/ Distributed Learning,New Westminster,V3M 3S9,49.215925,-122.929084
Adult Education/ Distributed Learning,Adult Education/ Distributed Learning,Terrace,V8G 4N8,54.51451,-128.540631
VSB Adult Education,Continuing Education Centre,Vancouver,V5W 2Z7,49.230013,-123.090324
Westshore Centre for Learning & Training,Adult Education/ Distributed Learning,Victoria,V9B 2X7,48.449478,-123.502202
SOSS Campus,Adult Education/ Distributed Learning,Oliver,V0H 1T0,49.180238,-119.557383
